2024-11-18 17:45:53.885 [info] Started local extension host with pid 281543.
2024-11-18 17:45:54.581 [error] [idleberg.icon-fonts]: Unknown language in `contributes.icon-fonts.language`. Provided value: svelte
2024-11-18 17:45:54.581 [error] [idleberg.icon-fonts]: Unknown language in `contributes.icon-fonts.language`. Provided value: svelte
2024-11-18 17:45:54.582 [error] [idleberg.icon-fonts]: Unknown language in `contributes.icon-fonts.language`. Provided value: svelte
2024-11-18 17:45:54.582 [error] [idleberg.icon-fonts]: Unknown language in `contributes.icon-fonts.language`. Provided value: svelte
2024-11-18 17:45:54.582 [error] [idleberg.icon-fonts]: Unknown language in `contributes.icon-fonts.language`. Provided value: svelte
2024-11-18 17:45:54.585 [error] [idleberg.icon-fonts]: Unknown language in `contributes.icon-fonts.language`. Provided value: svelte
2024-11-18 17:45:54.585 [error] [idleberg.icon-fonts]: Unknown language in `contributes.icon-fonts.language`. Provided value: svelte
2024-11-18 17:45:54.586 [error] [idleberg.icon-fonts]: Unknown language in `contributes.icon-fonts.language`. Provided value: svelte
2024-11-18 17:45:54.586 [error] [idleberg.icon-fonts]: Unknown language in `contributes.icon-fonts.language`. Provided value: svelte
2024-11-18 17:45:54.586 [error] [idleberg.icon-fonts]: Unknown language in `contributes.icon-fonts.language`. Provided value: svelte
2024-11-18 17:45:54.587 [error] [idleberg.icon-fonts]: Unknown language in `contributes.icon-fonts.language`. Provided value: svelte
2024-11-18 17:45:54.587 [error] [idleberg.icon-fonts]: Unknown language in `contributes.icon-fonts.language`. Provided value: svelte
2024-11-18 17:45:54.588 [error] [idleberg.icon-fonts]: Unknown language in `contributes.icon-fonts.language`. Provided value: svelte
2024-11-18 17:45:54.588 [error] [idleberg.icon-fonts]: Unknown language in `contributes.icon-fonts.language`. Provided value: svelte
2024-11-18 17:45:54.588 [error] [idleberg.icon-fonts]: Unknown language in `contributes.icon-fonts.language`. Provided value: svelte
2024-11-18 17:45:54.589 [error] [idleberg.icon-fonts-legacy]: Unknown language in `contributes.icon-fonts-legacy.language`. Provided value: blade
2024-11-18 17:45:54.589 [error] [idleberg.icon-fonts-legacy]: Unknown language in `contributes.icon-fonts-legacy.language`. Provided value: blade
2024-11-18 17:45:54.589 [error] [idleberg.icon-fonts-legacy]: Unknown language in `contributes.icon-fonts-legacy.language`. Provided value: blade
2024-11-18 17:45:54.590 [error] [idleberg.icon-fonts-legacy]: Unknown language in `contributes.icon-fonts-legacy.language`. Provided value: blade
2024-11-18 17:45:54.590 [error] [idleberg.icon-fonts-legacy]: Unknown language in `contributes.icon-fonts-legacy.language`. Provided value: blade
2024-11-18 17:45:54.590 [error] [idleberg.icon-fonts-legacy]: Unknown language in `contributes.icon-fonts-legacy.language`. Provided value: blade
2024-11-18 17:45:54.590 [error] [idleberg.icon-fonts-legacy]: Unknown language in `contributes.icon-fonts-legacy.language`. Provided value: blade
2024-11-18 17:45:54.590 [error] [idleberg.icon-fonts-legacy]: Unknown language in `contributes.icon-fonts-legacy.language`. Provided value: blade
2024-11-18 17:45:54.591 [error] [idleberg.icon-fonts-legacy]: Unknown language in `contributes.icon-fonts-legacy.language`. Provided value: blade
2024-11-18 17:45:54.591 [error] [idleberg.icon-fonts-legacy]: Unknown language in `contributes.icon-fonts-legacy.language`. Provided value: blade
2024-11-18 17:45:54.591 [error] [idleberg.icon-fonts-legacy]: Unknown language in `contributes.icon-fonts-legacy.language`. Provided value: blade
2024-11-18 17:45:54.591 [error] [idleberg.icon-fonts-legacy]: Unknown language in `contributes.icon-fonts-legacy.language`. Provided value: blade
2024-11-18 17:45:54.592 [error] [idleberg.icon-fonts-legacy]: Unknown language in `contributes.icon-fonts-legacy.language`. Provided value: blade
2024-11-18 17:45:54.592 [error] [idleberg.icon-fonts-legacy]: Unknown language in `contributes.icon-fonts-legacy.language`. Provided value: blade
2024-11-18 17:45:54.592 [error] [idleberg.icon-fonts-legacy]: Unknown language in `contributes.icon-fonts-legacy.language`. Provided value: blade
2024-11-18 17:45:54.592 [error] [idleberg.icon-fonts-legacy]: Unknown language in `contributes.icon-fonts-legacy.language`. Provided value: vue-html
